Elapsed Time,Core Body Temperature ,Heart Rate 
2013-11-30 17:00,1.643,0
2013-11-30 17:04,1.645,0
2013-11-30 17:08,1.645,0
2013-11-30 17:12,1.643,0
2013-11-30 17:16,1.647,0
2013-11-30 17:20,1.646,0
2013-11-30 17:24,1.645,0
2013-11-30 17:28,1.645,0
2013-11-30 17:32,1.644,0
2013-11-30 17:36,1.642,0
2013-11-30 17:40,1.645,0
2013-11-30 17:44,1.647,0
2013-11-30 17:48,1.645,0
2013-11-30 17:52,1.647,0
2013-11-30 17:56,1.649,0
2013-11-30 18:00,1.648,0
2013-11-30 18:04,1.65,0
2013-11-30 18:08,1.649,0
2013-11-30 18:12,1.648,0
2013-11-30 18:16,1.646,0
2013-11-30 18:20,1.646,0
2013-11-30 18:24,1.645,0
2013-11-30 18:28,1.645,0
2013-11-30 18:32,1.646,0
2013-11-30 18:36,1.646,0
2013-11-30 18:40,1.645,0
2013-11-30 18:44,1.648,0
2013-11-30 18:48,1.649,0
2013-11-30 18:52,1.648,0
2013-11-30 18:56,1.648,0
2013-11-30 19:00,1.645,0
2013-11-30 19:04,1.642,0
2013-11-30 19:08,1.642,0
2013-11-30 19:12,1.642,0
2013-11-30 19:16,1.643,0
2013-11-30 19:20,1.642,0
2013-11-30 19:24,1.645,0
2013-11-30 19:28,1.646,0
2013-11-30 19:32,1.646,0
2013-11-30 19:36,1.646,0
2013-11-30 19:40,1.642,0
2013-11-30 19:44,1.641,0
2013-11-30 19:48,1.639,0
2013-11-30 19:52,1.638,0
2013-11-30 19:56,1.64,0
2013-11-30 20:00,1.64,0
2013-11-30 20:04,1.641,0
2013-11-30 20:08,1.627,0
2013-11-30 20:12,1.642,0
2013-11-30 20:16,1.64,0
2013-11-30 20:20,1.638,0
2013-11-30 20:24,1.64,0
2013-11-30 20:28,1.636,0
2013-11-30 20:32,1.636,0
2013-11-30 20:36,1.637,0
2013-11-30 20:40,1.636,0
2013-11-30 20:44,1.637,0
2013-11-30 20:48,1.636,0
2013-11-30 20:52,1.636,0
2013-11-30 20:56,1.639,0
2013-11-30 21:00,1.638,0
2013-11-30 21:04,1.639,0
2013-11-30 21:08,1.637,0
2013-11-30 21:12,1.631,0
2013-11-30 21:16,1.633,0
2013-11-30 21:20,1.63,0
2013-11-30 21:24,1.63,0
2013-11-30 21:28,1.631,0
2013-11-30 21:32,1.63,0
2013-11-30 21:36,1.632,0
2013-11-30 21:40,1.63,0
2013-11-30 21:44,1.631,0
2013-11-30 21:48,1.634,0
2013-11-30 21:52,1.637,0
2013-11-30 21:56,1.64,0
2013-11-30 22:00,1.641,0
2013-11-30 22:04,1.644,0
2013-11-30 22:08,1.648,0
2013-11-30 22:12,1.651,0
2013-11-30 22:16,1.653,0
2013-11-30 22:20,1.655,0
2013-11-30 22:24,1.659,0
2013-11-30 22:28,1.66,0
2013-11-30 22:32,1.66,0
