Elapsed Time,Core Body Temperature ,Heart Rate 
2014-02-02 8:32,1.438,2
2014-02-02 8:36,1.422,0
2014-02-02 8:40,1.417,0
2014-02-02 8:44,1.442,4.4
2014-02-02 8:48,1.421,0
2014-02-02 8:52,1.415,0
2014-02-02 8:56,1.431,4.4
2014-02-02 9:00,1.411,0
2014-02-02 9:04,1.425,2.6
2014-02-02 9:08,1.443,6.4
2014-02-02 9:12,1.405,0
2014-02-02 9:16,1.426,4.6
2014-02-02 9:20,1.401,0
2014-02-02 9:24,1.4,0
2014-02-02 9:28,1.415,4.6
2014-02-02 9:32,1.412,2.6
2014-02-02 9:36,1.412,4.8
2014-02-02 9:40,1.432,7.4
2014-02-02 9:44,1.418,2.2
2014-02-02 9:48,1.428,5
2014-02-02 9:52,1.454,8.2
2014-02-02 9:56,1.441,11.2
2014-02-02 10:00,1.449,14.8
2014-02-02 10:04,1.501,19.6
2014-02-02 10:08,1.521,22.2
2014-02-02 10:12,1.605,25.2
2014-02-02 10:16,1.72,27.8
2014-02-02 10:20,1.887,32.4
2014-02-02 10:24,2.076,36.2
2014-02-02 10:28,2.302,40.8
2014-02-02 10:32,2.585,45.8
2014-02-02 10:36,2.891,51.4
2014-02-02 10:40,3.223,57
2014-02-02 10:44,3.625,60.6
2014-02-02 10:48,4.067,76.6
2014-02-02 10:52,4.544,78.8
2014-02-02 10:56,5.072,91.6
2014-02-02 11:00,5.656,104.6
2014-02-02 11:04,6.233,117.6
2014-02-02 11:08,6.816,137.8
2014-02-02 11:12,7.483,165
2014-02-02 11:16,8.457,205
2014-02-02 11:20,9.865,248.8
2014-02-02 11:24,11.564,305.8
2014-02-02 11:28,14,362.2
2014-02-02 11:32,17.133,397.8
2014-02-02 11:36,21.334,367.2
2014-02-02 11:40,25.821,366.8
2014-02-02 11:44,29.035,374.4
2014-02-02 11:48,30.67,385.2
2014-02-02 11:52,32.245,388.2
2014-02-02 11:56,33.412,371
2014-02-02 12:00,34.373,390.4
2014-02-02 12:04,35.234,389.4
2014-02-02 12:08,35.766,389.6
2014-02-02 12:12,36.098,376.8
2014-02-02 12:16,36.165,385.2
2014-02-02 12:20,36.612,402.6
2014-02-02 12:24,36.347,396.2
2014-02-02 12:28,37.052,396.6
2014-02-02 12:32,37.392,390
2014-02-02 12:36,37.293,396.8
2014-02-02 12:40,37.498,380.8
2014-02-02 12:44,37.287,383.4
2014-02-02 12:48,37.089,375
2014-02-02 12:52,36.662,375.8
2014-02-02 12:56,36.751,374
2014-02-02 13:00,36.44,381.6
2014-02-02 13:04,36.45,380.8
2014-02-02 13:08,35.485,377
2014-02-02 13:12,36.439,393.8
2014-02-02 13:16,36.388,383
2014-02-02 13:20,36.804,399.4
2014-02-02 13:24,36.756,403.8
2014-02-02 13:28,36.797,415.8
2014-02-02 13:32,36.777,417
2014-02-02 13:36,37.009,414.4
2014-02-02 13:40,36.885,412.2
2014-02-02 13:44,37.071,391.2
2014-02-02 13:48,37.412,384
2014-02-02 13:52,37.531,373.8
2014-02-02 13:56,37.573,380.8
2014-02-02 14:00,37.53,370.4
2014-02-02 14:04,37.459,373.4
2014-02-02 14:08,37.281,390.6
2014-02-02 14:12,37.269,350.8
2014-02-02 14:16,37.196,367.6
2014-02-02 14:20,37.225,371.4
2014-02-02 14:24,37.231,373.6
2014-02-02 14:28,37.387,334.8
2014-02-02 14:32,37.261,370.8
2014-02-02 14:36,37.379,355.8
2014-02-02 14:40,37.147,380.8
2014-02-02 14:44,37.216,355
2014-02-02 14:48,37.381,369.8
2014-02-02 14:52,37.473,346
2014-02-02 14:56,37.316,326.4
2014-02-02 15:00,37.249,367.4
2014-02-02 15:04,37.357,354.8
2014-02-02 15:08,37.38,353.4
2014-02-02 15:12,37.357,356.4
2014-02-02 15:16,37.269,361
2014-02-02 15:20,37.291,357.2
2014-02-02 15:24,37.293,355.2
2014-02-02 15:28,37.28,353
2014-02-02 15:32,37.276,334.2
2014-02-02 15:36,37.015,353.4
2014-02-02 15:40,37.031,355.4
2014-02-02 15:44,37.204,354.8
2014-02-02 15:48,37.221,352.6
2014-02-02 15:52,37.108,335
2014-02-02 15:56,37.155,353
2014-02-02 16:00,37.054,341.6
2014-02-02 16:04,36.89,353
2014-02-02 16:08,37.164,400
2014-02-02 16:12,37.38,370.2
2014-02-02 16:16,37.305,386.6
2014-02-02 16:20,37.525,414
2014-02-02 16:24,37.385,410.2
2014-02-02 16:28,37.534,410
2014-02-02 16:32,37.967,417.8
2014-02-02 16:36,38.076,361.6
2014-02-02 16:40,37.959,286.4
2014-02-02 16:44,37.617,379.4
2014-02-02 16:48,37.735,353.4
2014-02-02 16:52,37.639,313.6
2014-02-02 16:56,37.311,364.2
2014-02-02 17:00,37.485,357
2014-02-02 17:04,37.402,292.8
2014-02-02 17:08,37.256,353.8
2014-02-02 17:12,37.312,332.2
2014-02-02 17:16,37.181,310
2014-02-02 17:20,37.077,395.2
2014-02-02 17:24,37.213,349
2014-02-02 17:28,37.303,350.8
2014-02-02 17:32,37.25,337
2014-02-02 17:36,37.227,316.4
2014-02-02 17:40,37.033,349
2014-02-02 17:44,37.075,368.4
2014-02-02 17:48,37.18,351
2014-02-02 17:52,37.168,348.6
2014-02-02 17:56,37.173,278.4
2014-02-02 18:00,37.031,349.8
2014-02-02 18:04,37.157,351.4
2014-02-02 18:08,37.103,293.8
2014-02-02 18:12,36.83,355.6
2014-02-02 18:16,36.924,343
2014-02-02 18:20,36.986,343.4
2014-02-02 18:24,37.002,340.4
2014-02-02 18:28,36.997,299.2
2014-02-02 18:32,36.671,335.6
2014-02-02 18:36,36.704,346
2014-02-02 18:40,36.793,343.4
2014-02-02 18:44,36.625,385.8
2014-02-02 18:48,36.896,385
2014-02-02 18:52,36.766,359
2014-02-02 18:56,36.592,327.2
2014-02-02 19:00,36.771,355.4
2014-02-02 19:04,36.721,342
2014-02-02 19:08,36.495,311.8
2014-02-02 19:12,36.274,335.6
2014-02-02 19:16,36.369,331.8
2014-02-02 19:20,36.182,310.2
2014-02-02 19:24,36.523,344.4
2014-02-02 19:28,36.69,311.8
2014-02-02 19:32,36.766,326.8
2014-02-02 19:36,36.813,284.6
2014-02-02 19:40,36.668,331.2
2014-02-02 19:44,36.664,286.8
2014-02-02 19:48,36.477,329
2014-02-02 19:52,36.384,335.4
2014-02-02 19:56,36.429,328.2
2014-02-02 20:00,36.413,335.8
2014-02-02 20:04,36.303,299.6
