Elapsed Time,Core Body Temperature ,Heart Rate 
2014-01-19 23:16,1.714,11.8
2014-01-19 23:20,1.744,13.6
2014-01-19 23:24,1.802,22.6
2014-01-19 23:28,1.882,26
2014-01-19 23:32,2.007,29.2
2014-01-19 23:36,2.125,35.4
2014-01-19 23:40,2.323,35.8
2014-01-19 23:44,2.551,44
2014-01-19 23:48,2.816,49.8
2014-01-19 23:52,3.129,53.2
2014-01-19 23:56,3.505,62.8
2014-01-20 0:00,3.96,68.4
2014-01-20 0:04,4.433,80.2
2014-01-20 0:08,4.982,90
2014-01-20 0:12,5.542,107.6
2014-01-20 0:16,6.129,125.4
2014-01-20 0:20,6.801,148.2
2014-01-20 0:24,7.795,185.4
2014-01-20 0:28,8.91,231.6
2014-01-20 0:32,10.585,291
2014-01-20 0:36,12.97,354.8
2014-01-20 0:40,16.358,396.2
2014-01-20 0:44,19.918,384.6
2014-01-20 0:48,23.609,347.2
2014-01-20 0:52,27.208,364.8
2014-01-20 0:56,29.882,390.4
2014-01-20 1:00,31.503,382.4
2014-01-20 1:04,32.837,392.6
2014-01-20 1:08,33.835,389.8
2014-01-20 1:12,34.988,383.4
2014-01-20 1:16,35.244,387.8
2014-01-20 1:20,36.072,379.2
2014-01-20 1:24,36.348,376.8
2014-01-20 1:28,36.613,367
2014-01-20 1:32,36.796,371.2
2014-01-20 1:36,36.973,367.4
2014-01-20 1:40,37.074,354.6
2014-01-20 1:44,37.108,362.8
2014-01-20 1:48,37.26,325.8
2014-01-20 1:52,37.207,360.4
2014-01-20 1:56,37.187,314.2
2014-01-20 2:00,37.184,360
2014-01-20 2:04,37.074,360.2
2014-01-20 2:08,37.116,331.4
2014-01-20 2:12,37.012,352
2014-01-20 2:16,36.847,358
2014-01-20 2:20,37.039,310.2
2014-01-20 2:24,36.954,353.4
2014-01-20 2:28,37.014,348
2014-01-20 2:32,37.093,349.4
2014-01-20 2:36,37.097,358.4
2014-01-20 2:40,36.849,301.4
2014-01-20 2:44,36.63,352.8
2014-01-20 2:48,36.777,348.4
2014-01-20 2:52,36.842,346.4
2014-01-20 2:56,36.764,367
2014-01-20 3:00,36.862,350.2
2014-01-20 3:04,36.871,341.4
2014-01-20 3:08,36.726,287.6
2014-01-20 3:12,36.502,349.8
2014-01-20 3:16,36.548,347.8
2014-01-20 3:20,36.558,345.6
2014-01-20 3:24,36.594,329.2
2014-01-20 3:28,36.468,339
2014-01-20 3:32,36.348,378.8
2014-01-20 3:36,36.433,365
2014-01-20 3:40,36.166,352.2
2014-01-20 3:44,36.285,374.2
2014-01-20 3:48,36.597,369
2014-01-20 3:52,36.458,385.2
