Elapsed Time,Core Body Temperature ,Heart Rate 
2015-02-27 5:00,0.949,0
2015-02-27 5:04,0.949,0
2015-02-27 5:08,0.947,0
2015-02-27 5:12,0.952,0
2015-02-27 5:16,0.947,0
2015-02-27 5:20,0.946,0
2015-02-27 5:24,0.943,0
2015-02-27 5:28,0.944,0
2015-02-27 5:32,0.943,0
2015-02-27 5:36,0.945,0
2015-02-27 5:40,0.942,0
2015-02-27 5:44,0.95,0
2015-02-27 5:48,0.954,0
2015-02-27 5:52,0.953,0
2015-02-27 5:56,0.957,0
2015-02-27 6:00,0.964,0
2015-02-27 6:04,0.989,0
2015-02-27 6:08,1.01,0
2015-02-27 6:12,1.027,0
2015-02-27 6:16,1.071,0
2015-02-27 6:20,1.111,0
2015-02-27 6:24,1.186,29
2015-02-27 6:28,1.28,29
2015-02-27 6:32,1.407,48
2015-02-27 6:36,1.481,33
2015-02-27 6:40,1.609,35
2015-02-27 6:44,1.788,75
2015-02-27 6:48,2.03,39
2015-02-27 6:52,2.19,45
2015-02-27 6:56,2.427,48
2015-02-27 7:00,2.717,57
2015-02-27 7:04,2.96,61
2015-02-27 7:08,3.299,65
2015-02-27 7:12,3.646,72
2015-02-27 7:16,4.119,83
2015-02-27 7:20,4.546,92
2015-02-27 7:24,5.093,106
2015-02-27 7:28,5.66,121
2015-02-27 7:32,6.254,141
2015-02-27 7:36,6.887,168
2015-02-27 7:40,7.611,205
2015-02-27 7:44,8.446,252
2015-02-27 7:48,9.391,307
2015-02-27 7:52,10.923,328
2015-02-27 7:56,12.83,367
2015-02-27 8:00,15.563,338
2015-02-27 8:04,19.089,347
2015-02-27 8:08,22.526,366
2015-02-27 8:12,25.238,369
2015-02-27 8:16,26.541,394
2015-02-27 8:20,28.236,398
2015-02-27 8:24,29.059,413
2015-02-27 8:28,30.763,407
2015-02-27 8:32,32.452,422
2015-02-27 8:36,34.476,390
2015-02-27 8:40,35.871,401
2015-02-27 8:44,36.239,398
2015-02-27 8:48,36.88,387
2015-02-27 8:52,37.663,361
2015-02-27 8:56,37.704,376
2015-02-27 9:00,37.591,359
2015-02-27 9:04,37.883,331
2015-02-27 9:08,37.498,281
2015-02-27 9:12,37.492,268
2015-02-27 9:16,37.786,275
2015-02-27 9:20,37.708,237
2015-02-27 9:24,37.641,349
2015-02-27 9:28,37.771,336
2015-02-27 9:32,37.878,241
2015-02-27 9:36,37.243,275
2015-02-27 9:40,37.403,312
2015-02-27 9:44,37.348,263
2015-02-27 9:48,37.264,231
2015-02-27 9:52,36.732,314
2015-02-27 9:56,37.271,355
2015-02-27 10:00,37.263,229
2015-02-27 10:04,37.145,228
2015-02-27 10:08,36.871,312
2015-02-27 10:12,36.826,298
2015-02-27 10:16,36.837,324
2015-02-27 10:20,37.067,353
2015-02-27 10:24,37.155,354
2015-02-27 10:28,37.048,307
2015-02-27 10:32,37.149,336
2015-02-27 10:36,37.061,357
2015-02-27 10:40,37.007,362
2015-02-27 10:44,37.004,382
2015-02-27 10:48,37.302,346
2015-02-27 10:52,37.566,328
2015-02-27 10:56,37.799,374
2015-02-27 11:00,37.445,393
2015-02-27 11:04,37.39,384
2015-02-27 11:08,37.575,361
2015-02-27 11:12,37.669,358
2015-02-27 11:16,37.148,328
2015-02-27 11:20,37.524,353
2015-02-27 11:24,37.661,246
2015-02-27 11:28,37.781,251
2015-02-27 11:32,37.639,319
2015-02-27 11:36,37.612,286
2015-02-27 11:40,37.507,338
2015-02-27 11:44,37.448,298
2015-02-27 11:48,37.495,317
2015-02-27 11:52,37.551,215
2015-02-27 11:56,37.402,225
2015-02-27 12:00,37.194,332
2015-02-27 12:04,37.224,336
2015-02-27 12:08,37.336,249
2015-02-27 12:12,37.379,318
2015-02-27 12:16,37.445,219
2015-02-27 12:20,37.389,230
2015-02-27 12:24,37.206,331
2015-02-27 12:28,36.96,352
2015-02-27 12:32,37.168,251
2015-02-27 12:36,37.1,271
2015-02-27 12:40,37.115,326
2015-02-27 12:44,37.233,340
2015-02-27 12:48,37.344,219
2015-02-27 12:52,37.329,322
2015-02-27 12:56,37.002,357
2015-02-27 13:00,37.131,351
2015-02-27 13:04,37.223,237
2015-02-27 13:08,37.174,250
2015-02-27 13:12,37.108,332
2015-02-27 13:16,37.136,299
2015-02-27 13:20,37.186,298
2015-02-27 13:24,37.187,291
2015-02-27 13:28,37.228,220
2015-02-27 13:32,37.128,240
2015-02-27 13:36,36.881,344
2015-02-27 13:40,37.083,278
2015-02-27 13:44,37.173,275
2015-02-27 13:48,37.098,277
2015-02-27 13:52,37.151,213
2015-02-27 13:56,36.952,348
2015-02-27 14:00,37.244,295
2015-02-27 14:04,37.404,229
2015-02-27 14:08,37.472,197
2015-02-27 14:12,37.25,304
2015-02-27 14:16,37.179,300
2015-02-27 14:20,37.137,239
2015-02-27 14:24,37.258,282
2015-02-27 14:28,37.273,300
2015-02-27 14:32,37.264,317
2015-02-27 14:36,37.241,267
2015-02-27 14:40,37.242,275
2015-02-27 14:44,37.212,263
2015-02-27 14:48,37.072,281
2015-02-27 14:52,37.114,282
2015-02-27 14:56,37.092,310
2015-02-27 15:00,37.069,293
2015-02-27 15:04,37.027,276
2015-02-27 15:08,37.055,184
2015-02-27 15:12,36.974,262
2015-02-27 15:16,36.941,240
2015-02-27 15:20,36.945,251
2015-02-27 15:24,36.928,169
2015-02-27 15:28,36.79,303
2015-02-27 15:32,36.6,244
2015-02-27 15:36,36.694,253
2015-02-27 15:40,36.88,203
2015-02-27 15:44,36.807,162
2015-02-27 15:48,36.833,177
2015-02-27 15:52,36.55,268
2015-02-27 15:56,36.668,236
2015-02-27 16:00,36.731,294
2015-02-27 16:04,36.803,258
2015-02-27 16:08,36.818,227
2015-02-27 16:12,36.832,171
2015-02-27 16:16,36.74,271
2015-02-27 16:20,36.8,265
2015-02-27 16:24,36.835,222
2015-02-27 16:28,36.718,285
2015-02-27 16:32,36.105,272
2015-02-27 16:36,36.167,213
2015-02-27 16:40,36.03,215
2015-02-27 16:44,36.035,250
2015-02-27 16:48,35.996,238
2015-02-27 16:52,36.542,252
2015-02-27 16:56,36.751,252
2015-02-27 17:00,36.781,290
2015-02-27 17:04,36.9,234
2015-02-27 17:08,36.939,231
2015-02-27 17:12,36.9,229
2015-02-27 17:16,36.868,253
2015-02-27 17:20,36.846,236
2015-02-27 17:24,36.543,237
2015-02-27 17:28,36.591,178
2015-02-27 17:32,36.538,236
2015-02-27 17:36,36.498,343
2015-02-27 17:40,36.865,281
2015-02-27 17:44,36.947,335
2015-02-27 17:48,36.91,293
